Timestamp,Subject (i.e. PBPL),Course Name (i.e. Housing Policy),Course Number (i.e. PBPL 177),Discussion Section,Professor Name,Quarter/Year Taken (i.e. Spring 2025),Upper- or Lower-Division,In-Person / Hybrid / Online,Textbook Required?,Reading Load,Workload,"On average, how demanding was this course?","If you want to explain your answer, describe the type of work (readings, writing, exams, group work, etc.)",Overall Difficulty (1–5 scale),Professor Review,Would You Recommend This Class?,"Any Survival Tips? (Ex: “start readings early,” “go to section,” ""take detailed notes"")"
2/3/2026 19:58:59,ANTH,Introduction to Anthropology,ANTH 005,Yes,Kenichiro Tsukamoto,Fall 2025,Lower Division,In Person,Yes,Moderate,Light,Manageable weekly workload,,2,Solid guy,Yes,
2/3/2026 20:00:33,ENGL,Introduction to Science Fiction,ENGL 012S,No,Andre Carrington,Fall 2025,Lower Division,In Person,No,Moderate,Light,Minimal work outside of class,,1,Solid guy,Yes,
2/3/2026 20:01:47,PBPL,Introduction to Public Policy Analysis,PBPL 002,Yes,Jennifer Gaudette,Fall 2025,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Light,Light,Minimal work outside of class,,1,Solid guy,Yes,Tests are extremely easy
2/6/2026 14:07:41,PHIL,Early Modern Philosophy ,PHIL 030I,Yes,Andrew Smith,Winter 2026,Lower Division,In Person,Yes,Moderate,Moderate,Manageable weekly workload,,3,"Prof. Smith is known to be a pretty good instructor and easy grader. He’s always open to answering questions and offers extra help. He can move pretty quickly in class though, especially with his slideshows. ",Yes,"Take detailed notes and review the slides. In my experience, all the information I needed could be found in the slideshows."
2/6/2026 14:09:18,POSC ,Constitutional Freedoms ,POSC 167,Yes,Peter Mort,Winter 2026,Upper Division,In Person,Yes,Moderate,Light,Manageable weekly workload,"Case briefs take maybe 1 hour if u really lock in and there are only 4 due. 1 a week weeks 2-5. Midterm, Term Paper, Final. Term paper is 8-12 pages but you have a long time to do it. Peter Mort has to be one of the best professors ever. He’s so passionate about what he teaches and makes u actually want to participate. This was my first ever upper division and i would def take again. I absolutely love this class. ",3,100/10,Yes,
2/6/2026 14:12:42,ENTM,The Evidence for Evolution ,ENTM 050,No,Jessica Purcell,Winter 2026,Lower Division,In Person,No,Light,Moderate,Time-consuming but doable,There are 2 worksheets to complete every week with a short participation or knowledge quiz. The readings are often short. Having to do worksheets twice a week can be time consuming but nothing too stressful.,2,,Yes,"I would only recommend the class to students who are interested in learning basic biology and aren’t too afraid of insects, as you have to view a lot of images of them. I would say do the readings, they’re pretty helpful. "
2/6/2026 14:18:35,PHIL,Introduction to Critical Thinking,PHIL 007,Yes,Andrew Smith,Spring 2025,Lower Division,In Person,Yes,Light,Light,Minimal work outside of class,"Readings were super short but even then, they weren’t really necessary to do. All the information from the readings would be discussed in class. Discussion sections were also optional, just there for extra help.",2,,Yes,"For anyone planning on taking the LSAT, I would highly suggest they take this class. The questions and problems we would look over were similar to some of the LSAT logic questions. Besides that, I would just say go to lecture and pay attention to the slides. They contain pretty much all of the necessary information."
2/6/2026 14:27:08,PHIL,Evil,PHIL 005,Yes,Eric Schwitzgebel,Fall 2024,Lower Division,In Person,No,Heavy,Moderate,Time-consuming but doable,"There were a lot of readings to cover and the exams were often difficult, pulling questions from very specific parts of the readings. Although, the exams were heavily curved so I don’t know of anyone who ended up doing particularly bad in the class. You could also get away with not doing some of the readings if you listened closely in lecture.",4,Prof. Schwitzgebel was a really nice instructor. His approach to exams was a bit different though. He believed in makings tests particularly hard and then curving them after to make sure the students who had done all the readings were getting rewarded best. ,Only with certain professors,"Start reading assigned texts right away. Try your best to read them all but if you can’t, you can always ask your TA to help summarize the main ideas of a certain paper. The TAs were super helpful so try and go to section."
2/11/2026 12:31:04,Political science,World Politics ,POSC 020,Yes,Paul Danieri,Fall 2025,Lower Division,In Person,No,Heavy,Light,Time-consuming but doable,Too much reading. Doing bad on one exam ruins ur grade. No homework. No group work. ,4,He is the worst ever. Run. ,No,Just pray u get any professor besides him because the info is easy but his tests r ridiculous 
2/11/2026 12:39:53,POSC, American State Politics,POSC 171s,Yes,Dan Biggers,Fall 2025,Upper Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Moderate,Moderate,Manageable weekly workload,,4,He's nice and willing to help. ,Yes,The slides have all the answers
